Description	Category	Subcategory	Payment	Date	Gains/Expenses	Checking Balance
Raising Cane's	Wants	Free Spending	Chase CC	1/23/2022	10.76	1411.06
McDonald's	Wants	Free Spending	Chase CC	1/23/2022	13.10	1411.06
Shell	Needs	Gas	Citi CC	1/23/2022	77.22	1411.06
Cholada	Wants	Free Spending	Chase CC	1/23/2022	98.60	1411.06
HBO Max	Wants	Subscriptions	Chase CC	1/26/2022	7.49	1411.06
Chipotle	Wants	Free Spending	Citi CC	1/28/2022	13.25	1411.06
Internet Bill	Needs	Internet Bill	Checking	1/28/2022	83.99	1327.07
Car Insurance	Needs	Car Insurance	Checking	1/28/2022	142.80	1184.27
ESPN+	Wants	Subscriptions	Chase CC	1/29/2022	6.99	1184.27
Starbucks	Wants	Free Spending	Amazon CC	1/29/2022	10.00	1184.27
Nate's Korner	Wants	Free Spending	Chase CC	1/29/2022	14.10	1184.27
Laundry	Needs	Laundry	Chase CC	1/29/2022	15.00	1184.27
Ambrosia Coffee	Wants	Free Spending	Chase CC	1/30/2022	12.65	1184.27
Northgate Market	Wants	Free Spending	Citi CC	1/30/2022	16.75	1184.27
Bill Reimbursement	Income	Reimbursements	Checking	1/31/2022	75.19	1259.46
McDonald's	Wants	Free Spending	Chase CC	1/31/2022	18.24	1259.46
Amazon	Wants	Free Spending	Amazon CC	2/1/2022	2.98	1259.46
Rent	Needs	Rent	Checking	2/1/2022	1120.61	138.85
Ralph's	Needs	Groceries	Citi CC	2/2/2022	74.77	138.85
Payday	Income	Earnings	Checking	2/4/2022	1639.97	1778.82
Apple CC	CC Payment	CC Payment	Checking	2/4/2022	55.78	1723.04
Emergency Savings	Savings	Emergency Savings	Checking	2/4/2022	100.00	1623.04
Brokerage Contribution	Savings	Taxable Brokerage	Checking	2/4/2022	200.00	1423.04
Citi CC	CC Payment	CC Payment	Checking	2/4/2022	245.27	1177.77
Chase CC	CC Payment	CC Payment	Checking	2/4/2022	824.87	352.90
Withdrawal	Wants	Free Spending	Checking	2/5/2022	100.00	252.90
Popeye's	Wants	Free Spending	Chase CC	2/6/2022	28.86	252.90
Domino's	Wants	Free Spending	Chase CC	2/6/2022	32.17	252.90
Best Buy	Wants	Free Spending	Chase CC	2/6/2022	40.47	252.90
Speedway	Needs	Gas	Citi CC	2/6/2022	68.58	252.90
Starbucks	Wants	Free Spending	Amazon CC	2/7/2022	20.00	252.90
See's Candies	Wants	Free Spending	Chase CC	2/7/2022	34.00	252.90
V-Day Gift	Wants	Free Spending	Amazon CC	2/7/2022	66.22	252.90
Electric Bill	Needs	Electric Bill	Checking	2/9/2022	86.68	166.22
In N Out	Wants	Free Spending	Chase CC	2/10/2022	8.89	166.22
Amazon CC	CC Payment	CC Payment	Checking	2/10/2022	12.98	153.24
Cigars Intl	Wants	Free Spending	Chase CC	2/10/2022	20.24	153.24
Trader Joe's	Needs	Groceries	Citi CC	2/10/2022	70.49	153.24
Zion Mart	Needs	Groceries	Citi CC	2/12/2022	9.68	153.24
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	2/12/2022	125.00	153.24
McDonald's	Wants	Free Spending	Chase CC	2/13/2022	12.23	153.24
Ralph's	Needs	Groceries	Citi CC	2/13/2022	37.46	153.24
Petit Trois	Wants	Free Spending	Chase CC	2/13/2022	207.13	153.24
Savings Transfer	Income	Savings Transfer	Checking	2/14/2022	235.02	388.26
Federal Loans	Needs	Student Loans	Checking	2/14/2022	308.05	80.21
Speedway	Needs	Gas	Citi CC	2/16/2022	70.81	80.21
El Pollo Loco	Wants	Free Spending	Chase CC	2/17/2022	16.68	80.21
Payday	Income	Earnings	Checking	2/18/2022	2600.83	2681.04
Final Paycheck	Income	Earnings	Checking	2/18/2022	2213.11	4894.15
ESPP Reimbursement	Income	Earnings	Checking	2/18/2022	235.02	5129.17
Brokerage Contribution	Savings	Taxable Brokerage	Checking	2/18/2022	200.00	4929.17
Emergency Savings	Savings	Emergency Savings	Checking	2/18/2022	335.02	4594.15
Del Taco	Wants	Free Spending	Chase CC	2/19/2022	12.57	4594.15
M&M Smoke Shop	Wants	Free Spending	Chase CC	2/19/2022	17.41	4594.15
Twohey's	Wants	Free Spending	Chase CC	2/19/2022	39.25	4594.15
Santa Ana Parking	Wants	Free Spending	Chase CC	2/20/2022	4.00	4594.15
McDonald's	Wants	Free Spending	Chase CC	2/20/2022	7.81	4594.15
Ralph's	Needs	Groceries	Citi CC	2/20/2022	15.60	4594.15
LA Fitness	Wants	Subscriptions	Chase CC	2/20/2022	34.99	4594.15
LA Fitness - Annual Fee	Wants	Subscriptions	Chase CC	2/20/2022	49.00	4594.15
La Santa	Wants	Free Spending	Chase CC	2/20/2022	80.00	4594.15
Walmart - Refund	Wants	Free Spending	Chase CC	2/21/2022	38.10	4594.15
Deposit	Income	Earnings	Checking	2/21/2022	0.03	4594.18
Target	Wants	Free Spending	Chase CC	2/21/2022	6.44	4594.18
Zelle	Wants	Free Spending	Checking	2/21/2022	50.00	4544.18
Walmart	Wants	Free Spending	Chase CC	2/21/2022	52.02	4544.18
Photasia	Wants	Free Spending	Chase CC	2/21/2022	52.69	4544.18
McDonald's	Wants	Free Spending	Chase CC	2/24/2022	5.81	4544.18
Starbucks	Wants	Free Spending	Amazon CC	2/24/2022	10.00	4544.18
Ralph's	Needs	Groceries	Citi CC	2/24/2022	19.63	4544.18
Renter's Insurance	Needs	Renter's Insurance	Checking	2/24/2022	59.50	4484.68
McDonald's	Wants	Free Spending	Chase CC	2/25/2022	12.91	4484.68
Starbucks	Wants	Free Spending	Amazon CC	2/25/2022	20.00	4484.68
HBO Max	Wants	Subscriptions	Chase CC	2/26/2022	7.49	4484.68
Chipotle	Wants	Free Spending	Chase CC	2/26/2022	13.25	4484.68
Chipotle	Wants	Free Spending	Chase CC	2/27/2022	24.91	4484.68
Speedway	Needs	Gas	Citi CC	2/27/2022	63.62	4484.68
Classic Tobacco	Wants	Free Spending	Chase CC	2/27/2022	66.75	4484.68
Costco	Needs	Groceries	Chase CC	2/27/2022	150.40	4484.68
ESPN+	Wants	Subscriptions	Chase CC	2/28/2022	6.99	4484.68
Internet Bill	Needs	Internet Bill	Checking	2/28/2022	83.99	4400.69
Car Insurance	Needs	Car Insurance	Checking	2/28/2022	143.88	4256.81
Bill Reimbursement	Income	Reimbursements	Checking	2/28/2022	112.80	4369.61
Classic Tobacco	Wants	Free Spending	Chase CC	3/1/2022	52.54	4369.61
JetBlue - Cancun	Wants	Vacation Spending	Chase CC	3/1/2022	821.56	4369.61
Rent	Needs	Rent	Checking	3/1/2022	1121.21	3248.40
Currency Exchange	Wants	Vacation Spending	Checking	3/2/2022	597.25	2651.15
Chase CC	CC Payment	CC Payment	Checking	3/2/2022	1192.25	1458.90
Ralph's	Needs	Groceries	Citi CC	3/3/2022	8.07	1458.90
Apple CC	CC Payment	CC Payment	Checking	3/3/2022	76.25	1382.65
Ralph's	Needs	Groceries	Citi CC	3/4/2022	8.41	1382.65
Chronic Tacos	Wants	Free Spending	Chase CC	3/4/2022	12.07	1382.65
Airbnb	Wants	Vacation Spending	Chase CC	3/4/2022	377.28	1382.65
Domino's	Wants	Free Spending	Chase CC	3/5/2022	25.00	1382.65
CVS	Wants	Vacation Spending	Chase CC	3/6/2022	15.39	1382.65
Target	Wants	Vacation Spending	Chase CC	3/6/2022	52.23	1382.65
CC Rewards	Income	Reimbursements	Checking	3/7/2022	116.74	1499.39
LAX Food	Wants	Vacation Spending	Chase CC	3/7/2022	14.78	1499.39
La Parrilla	Wants	Vacation Spending	Amazon CC	3/7/2022	60.93	1499.39
Uber	Wants	Vacation Spending	Amazon CC	3/8/2022	11.79	1499.39
La Tia Juana	Wants	Vacation Spending	Amazon CC	3/8/2022	22.65	1499.39
La Casa Del Habano	Wants	Vacation Spending	Amazon CC	3/8/2022	40.00	1499.39
Uber	Wants	Vacation Spending	Chase CC	3/8/2022	41.19	1499.39
La Casa Del Habano	Wants	Vacation Spending	Amazon CC	3/8/2022	122.00	1499.39
Uber	Wants	Vacation Spending	Amazon CC	3/10/2022	3.35	1499.39
Ultramar Cancun	Wants	Vacation Spending	Amazon CC	3/10/2022	44.90	1499.39
Gomar Golf Carts	Wants	Vacation Spending	Amazon CC	3/10/2022	45.59	1499.39
Beach Massage	Wants	Vacation Spending	Amazon CC	3/10/2022	46.30	1499.39
Xantolo	Wants	Vacation Spending	Amazon CC	3/10/2022	76.69	1499.39
Tequila	Wants	Vacation Spending	Amazon CC	3/10/2022	86.28	1499.39
Amazon CC	CC Payment	CC Payment	Checking	3/10/2022	116.22	1383.17
Citi CC	CC Payment	CC Payment	Checking	3/10/2022	430.64	952.53
Las Hijas La Tostada	Wants	Vacation Spending	Amazon CC	3/11/2022	9.60	952.53
Aldo's	Wants	Vacation Spending	Amazon CC	3/11/2022	11.42	952.53
ADO to Tulum	Wants	Vacation Spending	Amazon CC	3/11/2022	20.13	952.53
ADO to Cancun	Wants	Vacation Spending	Amazon CC	3/11/2022	20.15	952.53
Guacamole	Wants	Vacation Spending	Amazon CC	3/12/2022	12.48	952.53
JetBlue - Cancun	Wants	Vacation Spending	Chase CC	3/12/2022	36.40	952.53
Airport Cigar Shop	Wants	Vacation Spending	Amazon CC	3/12/2022	38.00	952.53
La Casa Del Habano	Wants	Vacation Spending	Amazon CC	3/12/2022	43.00	952.53
Protech Covid Test	Wants	Vacation Spending	Amazon CC	3/12/2022	49.42	952.53
La Casa Del Habano	Wants	Vacation Spending	Amazon CC	3/12/2022	55.00	952.53
Flamingo's	Wants	Vacation Spending	Amazon CC	3/12/2022	56.56	952.53
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	3/12/2022	125.00	952.53
Postmates	Wants	Vacation Spending	Chase CC	3/13/2022	26.70	952.53
Trader Joe's	Needs	Groceries	Amazon CC	3/13/2022	27.93	952.53
Uber	Wants	Vacation Spending	Chase CC	3/13/2022	59.91	952.53
Starbucks	Wants	Free Spending	Amazon CC	3/14/2022	19.00	952.53
Electric Bill	Needs	Electric Bill	Checking	3/14/2022	86.80	865.73
Federal Loans	Needs	Student Loans	Checking	3/14/2022	308.05	557.68
Payday	Income	Earnings	Checking	3/18/2022	1466.58	2024.26
aChipotle	Wants	Free Spending	Chase CC	3/18/2022	15.19	2024.26
Nate's Korner	Wants	Free Spending	Chase CC	3/19/2022	14.10	2024.26
Best Buy	Wants	Free Spending	Chase CC	3/20/2022	11.50	2024.26
LA Fitness	Wants	Subscriptions	Chase CC	3/20/2022	34.99	2024.26
Speedway	Needs	Gas	Citi CC	3/20/2022	85.01	2024.26
Zelle	Wants	Free Spending	Checking	3/21/2022	100.00	1924.26
Ralph's	Needs	Groceries	Citi CC	3/22/2022	32.35	1924.26
McDonald's	Wants	Free Spending	Chase CC	3/23/2022	12.27	1924.26
Target	Needs	Groceries	Chase CC	3/23/2022	51.23	1924.26
Chipotle	Wants	Free Spending	Chase CC	3/25/2022	15.19	1924.26
HBO Max	Wants	Subscriptions	Chase CC	3/26/2022	7.49	1924.26
Target	Wants	Free Spending	Chase CC	3/26/2022	7.99	1924.26
In N Out	Wants	Free Spending	Chase CC	3/26/2022	15.00	1924.26
Costco	Wants	Free Spending	Chase CC	3/26/2022	30.64	1924.26
Chevron	Wants	Free Spending	Citi CC	3/27/2022	6.47	1924.26
AMC	Wants	Free Spending	Chase CC	3/27/2022	24.29	1924.26
Fandango	Wants	Free Spending	Chase CC	3/27/2022	43.96	1924.26
Starbucks	Wants	Free Spending	Amazon CC	3/28/2022	20.49	1924.26
Internet Bill	Needs	Internet Bill	Checking	3/28/2022	83.99	1840.27
Baekjeong KBBQ	Wants	Free Spending	Chase CC	3/28/2022	100.00	1840.27
ESPN+	Wants	Subscriptions	Chase CC	3/29/2022	6.99	1840.27
Speedway	Needs	Gas	Citi CC	3/29/2022	92.50	1840.27
Car Insurance	Needs	Car Insurance	Checking	3/29/2022	142.80	1697.47
Lemonade	Wants	Free Spending	Chase CC	3/30/2022	27.26	1697.47
Bill Reimbursement	Income	Reimbursements	Checking	3/31/2022	85.39	1782.86
Del Taco	Wants	Free Spending	Chase CC	3/31/2022	12.69	1782.86
Public Cafe	Wants	Free Spending	Chase CC	3/31/2022	13.47	1782.86
Sign-on Bonus	Income	Earnings	Checking	4/1/2022	3251.60	5034.46
Payday	Income	Earnings	Checking	4/1/2022	2002.83	7037.29
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/1/2022	250.00	6787.29
Emergency Savings	Savings	Emergency Savings	Checking	4/1/2022	350.00	6437.29
Rent	Needs	Rent	Checking	4/1/2022	1120.78	5316.51
Chase CC	CC Payment	CC Payment	Checking	4/1/2022	1950.88	3365.63
Domino's	Wants	Free Spending	Chase CC	4/2/2022	33.52	3365.63
Emergency Savings	Savings	Emergency Savings	Checking	4/2/2022	486.87	2878.76
McDonald's	Wants	Free Spending	Chase CC	4/3/2022	6.44	2878.76
Wholesome Choice	Wants	Free Spending	Chase CC	4/4/2022	13.30	2878.76
Citi CC	CC Payment	CC Payment	Checking	4/5/2022	232.81	2645.95
Apple CC	CC Payment	CC Payment	Checking	4/5/2022	288.58	2357.37
Amazon CC	CC Payment	CC Payment	Checking	4/7/2022	943.66	1413.71
Zelle	Wants	Free Spending	Checking	4/8/2022	35.00	1378.71
Zelle	Needs	Groceries	Checking	4/8/2022	110.00	1268.71
Speedway	Wants	Free Spending	Citi CC	4/9/2022	6.69	1268.71
Venmo - The Cut	Wants	Free Spending	Checking	4/9/2022	26.00	1242.71
Electric Bill	Needs	Electric Bill	Checking	4/9/2022	57.64	1185.07
Starbucks	Wants	Free Spending	Amazon CC	4/10/2022	20.00	1185.07
McDonald's	Wants	Free Spending	Chase CC	4/11/2022	7.80	1185.07
Jiffy Lube	Wants	Free Spending	Chase CC	4/11/2022	52.99	1185.07
Ra Yoga	Wants	Subscriptions	Chase CC	4/11/2022	64.50	1185.07
Shell	Needs	Gas	Citi CC	4/11/2022	85.00	1185.07
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	4/12/2022	125.00	1185.07
El Pollo Loco	Wants	Free Spending	Chase CC	4/13/2022	10.76	1185.07
Federal Taxes	Needs	Taxes	Checking	4/13/2022	18.00	1167.07
Tax Preparation Fee	Needs	Taxes	Checking	4/13/2022	400.00	767.07
Federal Loans	Needs	Student Loans	Checking	4/14/2022	308.05	459.02
Payday	Income	Earnings	Checking	4/15/2022	2032.77	2491.79
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/15/2022	250.00	2241.79
Emergency Savings	Savings	Emergency Savings	Checking	4/15/2022	300.00	1941.79
Zelle - Tacos	Wants	Free Spending	Checking	4/16/2022	52.00	1889.79
Bar Flores	Wants	Free Spending	Chase CC	4/16/2022	60.00	1889.79
McDonald's	Wants	Free Spending	Chase CC	4/17/2022	5.68	1889.79
Shell	Wants	Free Spending	Citi CC	4/17/2022	11.11	1889.79
Tubby's Tavern	Wants	Free Spending	Chase CC	4/17/2022	40.00	1889.79
Honda Ya	Wants	Free Spending	Checking	4/18/2022	62.00	1827.79
Trader Joe's	Needs	Groceries	Citi CC	4/18/2022	119.29	1827.79
Starbucks	Wants	Free Spending	Amazon CC	4/20/2022	20.00	1827.79
LA Fitness	Wants	Subscriptions	Chase CC	4/20/2022	34.99	1827.79
Speedway	Needs	Gas	Citi CC	4/21/2022	81.00	1827.79
McDonald's	Wants	Free Spending	Chase CC	4/23/2022	7.64	1827.79
Starbucks	Wants	Free Spending	Amazon CC	4/23/2022	10.00	1827.79
Miyabi Uni	Wants	Free Spending	Chase CC	4/23/2022	160.00	1827.79
McDonald's	Wants	Free Spending	Chase CC	4/24/2022	14.97	1827.79
Doordash - Chipotle	Wants	Free Spending	Chase CC	4/24/2022	20.00	1827.79
HBO Max	Wants	Subscriptions	Chase CC	4/26/2022	7.49	1827.79
Ralph's	Needs	Groceries	Citi CC	4/26/2022	88.82	1827.79
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/26/2022	471.81	1355.98
Gas	Needs	Placeholder	Citi CC	4/27/2022	0	1355.98
Free Spending	Wants	Placeholder	Chase CC	4/27/2022	0	1355.98
Groceries	Needs	Placeholder	Chase CC	4/27/2022	0	1355.98
Car Wash	Wants	Free Spending	Chase CC	4/27/2022	29.99	1355.98
Starbucks	Wants	Free Spending	Amazon CC	4/28/2022	10.00	1355.98
Poke Me	Wants	Free Spending	Chase CC	4/28/2022	16.15	1355.98
Speedway	Needs	Gas	Citi CC	4/28/2022	47.25	1355.98
Internet Bill	Needs	Internet Bill	Checking	4/28/2022	83.99	1271.99
Car Insurance	Needs	Car Insurance	Checking	4/28/2022	142.80	1129.19
Payday	Income	Earnings	Checking	4/29/2022	2032.77	3161.96
ESPN+	Wants	Subscriptions	Chase CC	4/29/2022	6.99	3161.96
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/29/2022	500.00	2661.96
Emergency Savings	Savings	Emergency Savings	Checking	4/29/2022	500.00	2161.96
Chronic Tacos	Wants	Free Spending	Chase CC	4/30/2022	12.82	2161.96
Bill Reimbursement	Income	Reimbursements	Checking	4/30/2022	70.81	2232.77
Speedway	Wants	Free Spending	Citi CC	5/1/2022	10.86	2232.77
Target	Wants	Free Spending	Chase CC	5/1/2022	26.93	2232.77
Nordstrom Rack	Wants	Free Spending	Chase CC	5/1/2022	44.15	2232.77
Karl Strauss	Wants	Free Spending	Chase CC	5/1/2022	63.09	2232.77
Rent	Needs	Rent	Checking	5/1/2022	1121.70	1111.07
Cold Stone	Wants	Free Spending	Chase CC	5/2/2022	9.49	1111.07
Ha Long	Wants	Free Spending	Chase CC	5/2/2022	27.80	1111.07
Laundry	Needs	Laundry	Chase CC	5/3/2022	10.00	1111.07
Costco	Wants	Free Spending	Chase CC	5/3/2022	34.67	1111.07
Costco	Needs	Groceries	Checking	5/4/2022	341.00	770.07
Starbucks	Wants	Free Spending	Chase CC	5/5/2022	10.00	770.07
Payment	Wants	Free Spending	Citi CC	5/6/2022	8.00	770.07
Speedway	Wants	Free Spending	Citi CC	5/7/2022	7.47	770.07
Ambrosia Coffee	Wants	Free Spending	Chase CC	5/8/2022	12.04	770.07
King Taco	Wants	Free Spending	Chase CC	5/8/2022	20.67	770.07
Smoke and Fire	Wants	Free Spending	Chase CC	5/8/2022	55.00	770.07
Shell	Needs	Gas	Citi CC	5/8/2022	75.00	770.07
Apple CC	CC Payment	CC Payment	Checking	5/9/2022	9.69	760.38
Electric Bill	Needs	Electric Bill	Checking	5/11/2022	6.66	753.72
Ra Yoga	Wants	Subscriptions	Chase CC	5/11/2022	129.00	753.72
Starbucks	Wants	Free Spending	Amazon CC	5/12/2022	10.00	753.72
Starbucks	Wants	Free Spending	Amazon CC	5/12/2022	10.00	753.72
Chipotle	Wants	Free Spending	Chase CC	5/12/2022	15.59	753.72
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	5/12/2022	125.00	753.72
Payday	Income	Earnings	Checking	5/13/2022	2032.77	2786.49
Amazon CC	CC Payment	CC Payment	Checking	5/13/2022	60.00	2726.49
Brokerage Contribution	Savings	Taxable Brokerage	Checking	5/13/2022	250.00	2476.49
Emergency Savings	Savings	Emergency Savings	Checking	5/13/2022	300.00	2176.49
Citi CC	CC Payment	CC Payment	Checking	5/13/2022	450.02	1726.47
Chase CC	CC Payment	CC Payment	Checking	5/13/2022	855.48	870.99
Ralph's	Needs	Groceries	Citi CC	5/14/2022	23.45	870.99
Federal Loans	Needs	Student Loans	Checking	5/14/2022	308.05	562.94
Nate's Korner	Wants	Free Spending	Chase CC	5/15/2022	14.10	562.94
CVS	Wants	Free Spending	Chase CC	5/15/2022	17.30	562.94
In N Out	Wants	Free Spending	Chase CC	5/16/2022	17.13	562.94
Speedway	Needs	Gas	Citi CC	5/16/2022	55.52	562.94
Tan-cha	Wants	Free Spending	Chase CC	5/17/2022	13.00	562.94
El Pollo Loco	Wants	Free Spending	Chase CC	5/17/2022	13.24	562.94
El Pollo Loco	Wants	Free Spending	Chase CC	5/18/2022	10.78	562.94
El Pollo Loco	Wants	Free Spending	Chase CC	5/19/2022	6.47	562.94
LA Fitness	Wants	Subscriptions	Chase CC	5/20/2022	34.99	562.94
Street Tacos	Wants	Free Spending	Chase CC	5/21/2022	9.00	562.94
REI	Wants	Free Spending	Chase CC	5/21/2022	50.92	562.94
REI	Wants	Free Spending	Chase CC	5/21/2022	127.22	562.94
Amazon	Wants	Free Spending	Amazon CC	5/22/2022	22.03	562.94
Domino's	Wants	Free Spending	Chase CC	5/22/2022	35.00	562.94
Norm's	Wants	Free Spending	Chase CC	5/22/2022	49.14	562.94
Starbucks	Wants	Free Spending	Amazon CC	5/23/2022	10.00	562.94
Speedway	Needs	Gas	Citi CC	5/23/2022	96.78	562.94
Renter's Insurance	Needs	Renter's Insurance	Checking	5/24/2022	59.50	503.44
Trader Joe's	Needs	Groceries	Citi CC	5/25/2022	41.12	503.44
HBO Max	Wants	Subscriptions	Chase CC	5/26/2022	7.49	503.44
Payday	Income	Earnings	Checking	5/27/2022	2032.78	2536.22
Gas	Needs	Placeholder	Citi CC	5/27/2022	0	2536.22
Free Spending	Wants	Placeholder	Chase CC	5/27/2022	0	2536.22
Groceries	Needs	Placeholder	Chase CC	5/27/2022	0	2536.22
Speedway	Wants	Free Spending	Citi CC	5/27/2022	36.17	2536.22
Chevron	Wants	Free Spending	Citi CC	5/27/2022	75.30	2536.22
Brokerage Contribution	Savings	Taxable Brokerage	Checking	5/27/2022	250.00	2286.22
Emergency Savings	Savings	Emergency Savings	Checking	5/27/2022	300.00	1986.22
McDonald's	Wants	Free Spending	Chase CC	5/28/2022	17.20	1986.22
Jack in the Box	Wants	Free Spending	Chase CC	5/28/2022	17.40	1986.22
Internet Bill	Needs	Internet Bill	Checking	5/28/2022	83.99	1902.23
Car Insurance	Needs	Car Insurance	Checking	5/28/2022	142.80	1759.43
ESPN+	Wants	Subscriptions	Chase CC	5/29/2022	6.99	1759.43
Jackrabbit Java	Wants	Free Spending	Chase CC	5/30/2022	13.83	1759.43
In N Out	Wants	Free Spending	Chase CC	5/30/2022	18.10	1759.43
Amazon	Wants	Free Spending	Amazon CC	5/30/2022	31.25	1759.43
Circle K	Wants	Free Spending	Citi CC	5/30/2022	74.27	1759.43
Bill Reimbursement	Income	Reimbursements	Checking	5/31/2022	75.07	1834.50
Target	Wants	Free Spending	Chase CC	5/31/2022	35.51	1834.50
Zelle	Wants	Free Spending	Checking	6/1/2022	5.00	1829.50
Speedway	Needs	Gas	Citi CC	6/1/2022	97.33	1829.50
Costco	Needs	Groceries	Chase CC	6/1/2022	221.90	1829.50
Rent	Needs	Rent	Checking	6/1/2022	1114.01	715.49
Zelle	Needs	Groceries	Checking	6/2/2022	309.46	406.03
AutoZone	Needs	Emergency	Chase CC	6/3/2022	24.77	406.03
Ascendant Automotive	Needs	Emergency	Chase CC	6/3/2022	40.00	406.03
Santa Monica Frutas	Wants	Free Spending	Checking	6/5/2022	12.00	394.03
Santa Monica Chariot	Wants	Free Spending	Checking	6/5/2022	20.00	374.03
Abbot Kinney	Wants	Free Spending	Chase CC	6/5/2022	15.28	374.03
Zion Mart	Needs	Groceries	Citi CC	6/6/2022	3.49	374.03
Bird	Wants	Free Spending	Chase CC	6/6/2022	35.00	374.03
Withdrawal	Wants	Free Spending	Checking	6/7/2022	40.00	334.03
Apple CC	CC Payment	CC Payment	Checking	6/8/2022	9.69	324.34
Savings Transfer	Income	Savings Transfer	Checking	6/8/2022	200.00	524.34
Electric Bill	Needs	Electric Bill	Checking	6/8/2022	65.26	459.08
Photasia	Wants	Free Spending	Chase CC	6/9/2022	17.80	459.08
Cash Back - Chase CC	Income	Reimbursements	Checking	6/9/2022	73.52	532.60
Cash Back - Amazon CC	Income	Reimbursements	Checking	6/9/2022	18.53	551.13
Payday	Income	Earnings	Checking	6/10/2022	2032.76	2583.89
Brokerage Contribution	Savings	Taxable Brokerage	Checking	6/10/2022	250.00	2333.89
Emergency Savings	Savings	Emergency Savings	Checking	6/10/2022	300.00	2033.89
Speedway	Needs	Gas	Citi CC	6/11/2022	83.43	2033.89
Blue Bowl	Wants	Free Spending	Chase CC	6/11/2022	23.00	2033.89
Ra Yoga	Wants	Subscriptions	Chase CC	6/11/2022	129.00	2033.89
Hiccups Barista	Wants	Free Spending	Chase CC	6/12/2022	14.22	2033.89
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	6/12/2022	125.00	2033.89
Zelle	Wants	Free Spending	Checking	6/13/2022	20.00	2013.89
Chronic Tacos	Wants	Free Spending	Chase CC	6/13/2022	9.64	2013.89
O'Reilly	Needs	Emergency	Chase CC	6/14/2022	472.38	2013.89
Federal Loans	Needs	Student Loans	Checking	6/14/2022	308.05	1705.84
Hatam Restaurant	Wants	Free Spending	Chase CC	6/15/2022	25.00	1705.84
Ascendant Automotive	Needs	Emergency	Chase CC	6/15/2022	400.00	1705.84
Citi CC	CC Payment	CC Payment	Checking	6/15/2022	590.41	1115.43
Chase CC	CC Payment	CC Payment	Checking	6/15/2022	1024.31	91.12
YouTube Premium	Wants	Subscriptions	Chase CC	6/16/2022	11.99	91.12
McDonald's	Wants	Free Spending	Chase CC	6/18/2022	5.59	91.12
Ralph's	Needs	Groceries	Citi CC	6/18/2022	19.25	91.12
Subway	Wants	Free Spending	Chase CC	6/19/2022	14.00	91.12
Southwind Kayak	Wants	Free Spending	Chase CC	6/19/2022	35.75	91.12
ARC Butcher & Baker	Wants	Free Spending	Chase CC	6/19/2022	160.00	91.12
LA Fitness	Wants	Subscriptions	Chase CC	6/20/2022	34.99	91.12
Ralph's	Needs	Groceries	Citi CC	6/22/2022	21.91	91.12
Speedway	Needs	Gas	Citi CC	6/23/2022	97.87	91.12
Starbucks	Wants	Free Spending	Chase CC	6/23/2022	9.50	91.12
El Pollo Loco	Wants	Free Spending	Chase CC	6/24/2022	10.39	91.12
Savings Transfer	Income	Savings Transfer	Checking	6/24/2022	321.00	412.12
Payday	Income	Earnings	Checking	6/24/2022	2060.91	2473.03
Brokerage Contribution	Savings	Taxable Brokerage	Checking	6/24/2022	200.00	2273.03
Emergency Savings	Savings	Emergency Savings	Checking	6/24/2022	250.00	2023.03
Amazon CC	CC Payment	CC Payment	Checking	6/24/2022	83.28	1939.75
El Antojito Gardena	Wants	Free Spending	Chase CC	6/25/2022	37.42	1939.75
Zelle	Wants	Free Spending	Checking	6/25/2022	3.00	1936.75
Cafe Cafe	Wants	Free Spending	Chase CC	6/26/2022	28.24	1936.75
Sephora	Wants	Free Spending	Chase CC	6/26/2022	94.17	1936.75
Northgate Market	Wants	Free Spending	Chase CC	6/26/2022	14.22	1936.75
Parking Ticket	Needs	Emergency	Chase CC	6/26/2022	69.00	1936.75
HBO Max	Wants	Subscriptions	Chase CC	6/26/2022	7.49	1936.75
Carl's Jr	Wants	Free Spending	Chase CC	6/27/2022	12.26	1936.75
Groceries	Needs	Placeholder	Chase CC	6/27/2022	0	1936.75
Gas	Needs	Placeholder	Citi CC	6/27/2022	0	1936.75
Free Spending	Wants	Placeholder	Chase CC	6/27/2022	0	1936.75
Internet Bill	Needs	Internet Bill	Checking	6/28/2022	83.99	1852.76
Car Insurance	Needs	Car Insurance	Checking	6/28/2022	142.80	1709.96
ESPN+	Wants	Subscriptions	Chase CC	6/29/2022	6.99	1709.96
Bill Reimbursement	Income	Reimbursements	Checking	6/30/2022	74.62	1784.58
Rent	Needs	Rent	Checking	7/1/2022	1123.02	661.56
Aloha Catering Service	Wants	Free Spending	Chase CC	7/3/2022	35.31	661.56
McDonald's	Wants	Free Spending	Chase CC	7/3/2022	28.75	661.56
Total Wine	Wants	Free Spending	Chase CC	7/3/2022	27.43	661.56
Tom's Tailgate	Wants	Free Spending	Chase CC	7/3/2022	10.00	661.56
